"@timestamp","json.apk","json.PII","json.testing_label","json.country"
"Feb 7, 2020 @ 12:58:57.742","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 12:58:57.742","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 12:58:57.742","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 12:58:57.742","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 12:58:57.742","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 12:58:57.740","info.vazquezsoftware.matriculas","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:42:16.349","com.cyberstep.toreba.android","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:33:43.853","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:33:43.853","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:14:48.719","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:14:48.719","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:14:48.719","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:14:48.719","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 11:11:07.770","skywave.ideasld","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:59:04.356","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo",Australia
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:58:58.318","com.coloringbynumbersandbox.pixelmon","Certificate Pinning","chema_demo",Australia
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo","United States"
"Feb 7, 2020 @ 10:52:42.526","com.redberry.babysharkv1","Certificate Pinning","chema_demo",Australia
"Feb 6, 2020 @ 19:06:08.620","com.baselayoutsforcoc","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 19:06:08.620","com.baselayoutsforcoc","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 19:06:08.620","com.baselayoutsforcoc","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 19:06:08.620","com.baselayoutsforcoc","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 19:06:08.620","com.baselayoutsforcoc","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.941","emoji.photo.editor","Certificate Pinning","chema_demo",Canada
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo",Canada
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo",Canada
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 12:04:49.940","emoji.photo.editor","Certificate Pinning","chema_demo",Canada
"Feb 6, 2020 @ 10:40:17.867","no.mobitroll.kahoot.android","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:40:17.867","no.mobitroll.kahoot.android","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:40:17.867","no.mobitroll.kahoot.android","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:40:17.867","no.mobitroll.kahoot.android","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:40:17.867","no.mobitroll.kahoot.android","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.990","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.989","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.989","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:56.989","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
"Feb 6, 2020 @ 10:36:47.938","emoji.photo.editor","Certificate Pinning","chema_demo","United States"
