"@timestamp","json.apk","json.type","json.domain","json.event","json.status"
"Dec 4, 2019 @ 12:12:00.745","com.webcamfree.vigoonlinegirls",trustmanagerImp,"securecloud-dt.com",intercept,true
"Dec 4, 2019 @ 12:11:53.745","com.webcamfree.vigoonlinegirls",okhttp3,,setup,false
"Dec 4, 2019 @ 12:11:53.745","com.webcamfree.vigoonlinegirls",trustkit,,setup,false
"Dec 4, 2019 @ 12:11:53.745","com.webcamfree.vigoonlinegirls",trustmanagerImp,,setup,true
"Dec 4, 2019 @ 12:11:53.745","com.webcamfree.vigoonlinegirls",appcelerator,,setup,false
"Dec 4, 2019 @ 12:11:53.744","com.webcamfree.vigoonlinegirls",trustmanager,,setup,true
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",trustmanager,,setup,true
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",okhttp3,,setup,false
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",trustkit,,setup,false
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",trustmanagerImp,,setup,true
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",appcelerator,,setup,false
"Dec 4, 2019 @ 12:05:29.371","com.QueContactoscom.QC",trustmanagerImp,"www.quecontactos.com",intercept,true
"Dec 4, 2019 @ 12:04:04.369","com.mobile.android.smartick",trustmanagerImp,"facebook.com",intercept,true
"Dec 4, 2019 @ 12:04:04.369","com.mobile.android.smartick",trustmanagerImp,"scontent-mad1-1.xx.fbcdn.net",intercept,true
"Dec 4, 2019 @ 12:04:04.368","com.mobile.android.smartick",trustmanagerImp,"m.facebook.com",intercept,true
"Dec 4, 2019 @ 12:04:04.368","com.mobile.android.smartick",trustmanagerImp,"static.xx.fbcdn.net",intercept,true
"Dec 4, 2019 @ 12:00:49.363","com.mobile.android.smartick",trustmanagerImp,"e.crashlytics.com",intercept,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanager,,setup,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",okhttp3,,setup,false
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustkit,,setup,false
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,,setup,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",appcelerator,,setup,false
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,"settings.crashlytics.com",intercept,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,"www.google-analytics.com",intercept,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,"graph.facebook.com",intercept,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,"www.smartick.es",intercept,true
"Dec 4, 2019 @ 12:00:48.362","com.mobile.android.smartick",trustmanagerImp,"www.smartick.es",intercept,true
"Dec 4, 2019 @ 11:58:33.358","com.smartbox.smartboxbeneficiary",trustmanagerImp,"firebasestorage.googleapis.com",intercept,true
"Dec 4, 2019 @ 11:57:58.357","com.smartbox.smartboxbeneficiary",trustmanagerImp,"smartbox.sc.omtrdc.net",intercept,true
"Dec 4, 2019 @ 11:55:53.354","com.smartbox.smartboxbeneficiary",trustmanagerImp,"assets.adobedtm.com",intercept,true
"Dec 4, 2019 @ 11:55:53.353","com.smartbox.smartboxbeneficiary",trustmanagerImp,"assets.adobedtm.com",intercept,true
"Dec 4, 2019 @ 11:55:52.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"firebaseremoteconfig.googleapis.com",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanager,,setup,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",okhttp3,,setup,false
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustkit,,setup,false
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,,setup,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",appcelerator,,setup,false
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"settings.crashlytics.com",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"www.google-analytics.com",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"connectivitycheck.android.com",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"smartbox.sc.omtrdc.net",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"firebaseremoteconfig.googleapis.com",intercept,true
"Dec 4, 2019 @ 11:55:51.352","com.smartbox.smartboxbeneficiary",trustmanagerImp,"firebaseremoteconfig.googleapis.com",intercept,true
"Dec 4, 2019 @ 11:54:16.349","com.a3.sgt",trustmanagerImp,"graph.facebook.com",intercept,true
"Dec 4, 2019 @ 11:53:21.347","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:53:21.347","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:53:21.347","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:53:06.346","com.a3.sgt",trustmanagerImp,"atresmedia.sc.omtrdc.net",intercept,true
"Dec 4, 2019 @ 11:52:51.345","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:51.345","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:51.345","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:48.345","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:41.344","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:41.344","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:41.344","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:41.344","com.a3.sgt",trustmanagerImp,"imagenes.atresplayer.com",intercept,true
"Dec 4, 2019 @ 11:52:40.344","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:40.344","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:40.344","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:40.343","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:37.343","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:37.343","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:37.343","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
"Dec 4, 2019 @ 11:52:37.343","com.a3.sgt",trustmanagerImp,"statics.atresmedia.com",intercept,true
