@timestamp;json.apk;json.country;json.country_code;json.category;json.domain;json.fase;json.categ;json.PII;json.testing_label;json.int_transfer;json.categ_ancestry;json.ancestry;json.port;json.device
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;United States;US;-;tpc.googlesyndication.com;Phase 2;"[""marketing""]";Certificate Pinning;Label_IT_Phase_Two;true;"[""[\""marketing\""]"",""[]"",""[]""]";"[""AdSense"",""Google"",""Alphabet""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;United States;US;-;tpc.googlesyndication.com;Phase 2;"[""marketing""]";Certificate Pinning;Label_IT_Phase_Two;true;"[""[\""marketing\""]"",""[]"",""[]""]";"[""AdSense"",""Google"",""Alphabet""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;United States;US;-;csi.gstatic.com;Phase 2;[];Certificate Pinning;Label_IT_Phase_Two;true;"[""[]"",""[]""]";"[""Google"",""Alphabet""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;United States;US;-;googleads.g.doubleclick.net;Phase 2;"[""marketing""]";Certificate Pinning;Label_IT_Phase_Two;true;"[""[\""marketing\""]"",""[]"",""[]""]";"[""DoubleClick"",""Google"",""Alphabet""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;static.xx.fbcdn.net;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;static.xx.fbcdn.net;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;static.xx.fbcdn.net;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;static.xx.fbcdn.net;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;static.xx.fbcdn.net;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
Apr 15, 2020 @ 18:10:43.029;com.venticake.retrica;Ireland;IE;-;facebook.com;Phase 2;"[""social media""]";Certificate Pinning;Label_IT_Phase_Two;false;"[""[\""social media\""]""]";"[""Facebook""]";-;aee4ad920306
